Country,literacy,schoolyears,internetpercent,electricpercent,governmenttype,pppPc,grosssavings,unemployment,belowpoverty,cleanwateraccess,sanitationaccess,obesityrate,underweightchildren,netmigrationrate,sexratioM2F,lifeexpentancy,fertilityrate,dependencyratio,median_age,latitude,longitude,NSHemi,EWHemi,coastline,borders,coastpercent,forestpercent,elevations
world,86.2,12,43,83,NaN,17500,27.9,7.7,NaN,91.1,67.7,NaN,NaN,NaN,1.01,69.8,2.42,52.5,30.6,NaN,NaN,NaN,NaN,356000,NaN,NaN,NaN,840
afghanistan,38.2,10,10.6,84.1,presidential Islamic republic,2000,22.7,23.9,54.5,55.3,31.9,5.5,25,-0.6,1.03,52.1,5.02,88.8,19,33,65,N,E,0,5987,0.0,2.07,1884
akrotiri,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34,32,N,E,56.3,48,0.5397890699904122,NaN,NaN
albania,97.6,15,66.4,100,parliamentary republic,12500,15.9,13.8,14.3,83.6,93.2,21.7,1.5,-3.3,0.98,78.6,1.52,44,33.4,41,20,N,E,362,691,0.34377967711301044,28.12,708
algeria,80.2,14,42.9,99.4,presidential republic,15200,37.8,11.7,23,83.6,87.6,27.4,3,-0.9,1.03,77.2,2.66,52.7,28.3,28,3,N,E,998,6734,0.1290739782721159,0.8,800
american_samoa,NaN,NaN,31.3,59,presidential democracy; a self-governing territory of the US,11200,NaN,29.8,NaN,100,62.5,NaN,NaN,-26.6,1,73.9,2.57,NaN,26.1,14,170,S,W,116,0,1.0,78.1,NaN
andorra,100,NaN,97.9,100,"parliamentary democracy (since March 1993) that retains its chiefs of state in the form of a co-principality; the two princes are the President of France and Bishop of Seu d'Urgell, Spain",49900,NaN,3.7,NaN,100,100,25.6,NaN,0,1.06,82.9,1.41,NaN,44.9,42,1,N,E,0,118,0.0,34,1996
angola,71.1,10,13,40.5,presidential republic,6800,28.6,6.6,36.6,49,51.6,8.2,19,0.1,0.95,60.6,6.09,97.6,15.9,12,18,S,E,1600,5369,0.22958817620892524,46.3,1112
anguilla,NaN,NaN,81.6,NaN,parliamentary democracy (House of Assembly); self-governing overseas territory of the UK,12200,NaN,8,23,94.6,97.9,NaN,NaN,11.5,0.9,81.6,1.74,NaN,35.1,18,63,N,W,61,0,1.0,61.1,NaN
antarctica,NaN,NaN,100,NaN,"Antarctic Treaty Summary - the Antarctic region is governed by a system known as the Antarctic Treaty system; the system includes: 1. the Antarctic Treaty, signed on 1 December 1959 and entered into force on 23 June 1961, which establishes the legal framework for the management of Antarctica, 2. Measures, Decisions, and Resolutions adopted at Antarctic Treaty Consultative Meetings, 3. The Convention for the Conservation of Antarctic Seals (1972), 4. The Convention for the Conservation of Antarctic Marine Living Resources (1980), and 5. The Protocol on Environmental Protection to the Antarctic Treaty (1991); the Antarctic Treaty Consultative Meetings operate by consensus (not by vote) of all consultative parties at annual Treaty meetings; by January 2016, there were 53 treaty member nations: 29 consultative and 24 non-consultative; consultative (decision-making) members include the seven nations that claim portions of Antarctica as national territory (some claims overlap) and 22 non-claimant nations; the US and Russia have reserved the right to make claims; the US does not recognize the claims of others; Antarctica is administered through meetings of the consultative member nations; measures adopted at these meetings are carried out by these member nations (with respect to their own nationals and operations) in accordance with their own national laws; the years in parentheses indicate when a consultative member-nation acceded to the Treaty and when it was accepted as a consultative member, while no date indicates the country was an original 1959 treaty signatory; claimant nations are - Argentina, Australia, Chile, France, NZ, Norway, and the UK; nonclaimant consultative nations are - Belgium, Brazil (1975/1983), Bulgaria (1978/1998), China (1983/1985), Czech Republic (1962/2014), Ecuador (1987/1990), Finland (1984/1989), Germany (1979/1981), India (1983/1983), Italy (1981/1987), Japan, South Korea (1986/1989), Netherlands (1967/1990), Peru (1981/1989), Poland (1961/1977), Russia, South Africa, Spain (1982/1988), Sweden (1984/1988), Ukraine (1992/2004), Uruguay (1980/1985), and the US; non-consultative members, with year of accession in parentheses, are - Austria (1987), Belarus (2006), Canada (1988), Colombia (1989), Cuba (1984), Denmark (1965), Estonia (2001), Greece (1987), Guatemala (1991), Hungary (1984), Iceland (2015), Kazakhstan (2015), North Korea (1987), Malaysia (2011), Monaco (2008), Mongolia (2015), Pakistan (2012), Papua New Guinea (1981), Portugal (2010), Romania (1971), Slovakia (1962/1993), Switzerland (1990), Turkey (1996), and Venezuela (1999); note - Czechoslovakia acceded to the Treaty in 1962 and separated into the Czech Republic and Slovakia in 1993; Article 1 - area to be used for peaceful purposes only; military activity, such as weapons testing, is prohibited, but military personnel and equipment may be used for scientific research or any other peaceful purpose; Article 2 - freedom of scientific investigation and cooperation shall continue; Article 3 - free exchange of information and personnel, cooperation with the UN and other international agencies; Article 4 - does not recognize, dispute, or establish territorial claims and no new claims shall be asserted while the treaty is in force; Article 5 - prohibits nuclear explosions or disposal of radioactive wastes;Article 6 - includes under the treaty all land and ice shelves south of 60 degrees 00 minutes south and reserves high seas rights; Article 7 - treaty-state observers have free access, including aerial observation, to any area and may inspect all stations, installations, and equipment; advance notice of all expeditions and of the introduction of military personnel must be given; Article 8 - allows for jurisdiction over observers and scientists by their own states; Article 9 - frequent consultative meetings take place among member nations; Article 10 - treaty states will discourage activities by any country in Antarctica that are contrary to the treaty; Article 11 - disputes to be settled peacefully by the parties concerned or, ultimately, by the ICJ; Articles 12, 13, 14 - deal with upholding, interpreting, and amending the treaty among involved nations; other agreements - some 200 measures adopted at treaty consultative meetings and approved by governments; the Protocol on Environmental Protection to the Antarctic Treaty was signed 4 October 1991 and entered into force 14 January 1998; this agreement provides for the protection of the Antarctic environment and includes five annexes that have entered into force: 1) environmental impact assessment, 2) conservation of Antarctic fauna and flora, 3) waste disposal and waste management, 4) prevention of marine pollution, 5) area protection and management; a sixth annex addressing liability arising from environmental emergencies has yet to enter into force; the Protocol prohibits all activities relating to mineral resources except scientific research; a permanent Antarctic Treaty Secretariat was established in 2004 in Buenos Aires, Argentina",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,0,S,E,17968,NaN,NaN,NaN,2300
